2025-07-17 21:45:55.211 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:55.493 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:55.493 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:55.768 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:55.776 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:56.048 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:56.048 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:56.333 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:56.333 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:56.605 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:56.605 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:56.876 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:56.878 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:57.143 | ERROR    | core.object_detector:recognize_faces:215 - Face recognition failed: No module named 'face_recognition'
2025-07-17 21:45:57.143 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: '<' not supported between instances of 'AudioMessage' and 'AudioMessage'
2025-07-17 21:45:57.227 | INFO     | __main__:main:218 - Received interrupt signal
2025-07-17 21:45:57.745 | INFO     | __main__:stop_camera:62 - Camera stopped
2025-07-17 21:45:57.745 | INFO     | core.audio_processor:stop:195 - Audio processor stopped
2025-07-17 21:45:57.749 | INFO     | __main__:stop:184 - VisionGuide AI stopped
2025-07-17 21:45:57.749 | INFO     | __main__:main:223 - VisionGuide AI shutdown complete
2025-07-17 21:49:09.287 | INFO     | core.object_detector:__init__:33 - Object detector initialized on cpu
2025-07-17 21:49:14.055 | INFO     | core.depth_estimator:_load_model:63 - Depth estimation model loaded: MiDaS_small
2025-07-17 21:49:14.541 | INFO     | core.audio_processor:_initialize_tts:64 - TTS engine initialized successfully
2025-07-17 21:49:16.126 | INFO     | core.audio_processor:_initialize_speech_recognition:77 - Speech recognition initialized
2025-07-17 21:49:16.126 | INFO     | core.audio_processor:__init__:46 - Audio processor initialized
2025-07-17 21:49:16.126 | INFO     | __main__:__init__:36 - VisionGuide AI initialized successfully
2025-07-17 21:49:16.436 | INFO     | __main__:start_camera:50 - Camera started successfully
2025-07-17 21:49:16.436 | INFO     | __main__:start:164 - VisionGuide AI started
2025-07-17 21:49:16.436 | INFO     | __main__:main:211 - VisionGuide AI is running. Press 'q' to quit.
2025-07-17 21:49:16.803 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:49:16.907 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:49:17.011 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:49:17.115 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
2025-07-17 21:49:17.219 | ERROR    | __main__:run_detection_loop:149 - Detection loop error: 'AppConfig' object has no attribute 'debug_mode'
